dataset,stem_group,genre_sub,split,files,total_h,active_h,active_frac,n_segments,seg_p25_s,seg_p50_s,seg_p75_s,gap_p25_s,gap_p50_s,gap_p75_s,gap_p95_s
71955,대금,대풍류,test,3.0,0.22,0.21,0.9871,5.0,52.26,96.0,259.12,0.4,0.62,0.84,1.01
71955,대금,대풍류,train,16.0,1.2,1.17,0.9788,57.0,24.75,38.41,78.43,0.37,0.64,1.01,1.7
71955,대금,대풍류,val,2.0,0.1,0.09,0.9508,3.0,50.85,86.62,162.45,15.27,15.27,15.27,15.27
71955,대금,민요,test,11.0,0.72,0.72,0.9964,11.0,209.69,216.75,260.68,,,,
71955,대금,민요,train,56.0,3.75,3.74,0.9995,59.0,197.8,228.44,273.54,0.14,0.23,0.69,1.06
71955,대금,민요,val,8.0,0.49,0.49,0.9997,8.0,197.03,217.99,234.91,,,,
71955,대금,산조,test,4.0,0.14,0.14,0.9944,5.0,20.98,44.57,147.06,0.55,0.55,0.55,0.55
71955,대금,산조,train,24.0,1.37,1.36,0.9949,32.0,17.99,129.56,294.37,0.13,0.25,0.29,0.47
71955,대금,산조,val,3.0,0.26,0.26,0.9952,3.0,301.19,302.36,313.05,,,,
71955,대금,창작국악,test,31.0,1.74,0.96,0.556,249.0,5.01,9.61,16.28,0.46,4.0,7.81,41.17
71955,대금,창작국악,train,164.0,9.74,5.91,0.6066,1310.0,4.09,8.05,17.39,0.92,3.29,8.83,38.36
71955,대금,창작국악,val,24.0,1.37,0.88,0.6437,167.0,4.44,10.86,23.41,2.19,4.19,9.22,24.33
71955,대금,판소리,test,40.0,2.16,2.08,0.9636,254.0,5.16,12.72,27.92,0.32,0.74,1.24,3.13
71955,대금,판소리,train,202.0,13.47,12.93,0.9598,1946.0,4.98,8.99,22.13,0.28,0.64,1.2,3.12
71955,대금,판소리,val,27.0,1.53,1.47,0.9589,223.0,3.98,11.13,25.25,0.23,0.6,1.02,2.59
71955,대금,풍류음악,test,16.0,1.01,1.0,0.994,28.0,42.77,94.58,194.47,0.24,0.32,1.17,4.14
71955,대금,풍류음악,train,78.0,5.36,5.3,0.9894,146.0,51.27,95.96,214.53,0.46,1.04,2.1,7.58
71955,대금,풍류음악,val,10.0,0.59,0.59,0.9881,18.0,74.07,92.48,141.63,0.25,1.13,1.62,3.93
71955,아쟁,궁중음악,test,7.0,0.7,0.7,0.9932,10.0,25.29,135.59,321.46,0.62,1.1,1.4,1.64
71955,아쟁,궁중음악,train,28.0,2.32,2.31,0.9954,32.0,105.09,240.17,356.26,0.49,0.78,1.1,1.44
71955,아쟁,궁중음악,val,5.0,0.61,0.61,0.9978,5.0,205.76,303.92,348.59,,,,
71955,아쟁,대풍류,test,3.0,0.22,0.21,0.9875,3.0,204.47,259.85,310.43,,,,
71955,아쟁,대풍류,train,16.0,1.2,1.18,0.9873,27.0,57.75,108.28,184.99,0.07,0.37,0.41,0.51
71955,아쟁,대풍류,val,2.0,0.1,0.1,0.9947,2.0,147.38,177.84,208.29,,,,
71955,아쟁,민요,test,11.0,0.72,0.72,0.995,24.0,13.42,28.01,207.87,0.46,0.69,0.74,1.26
71955,아쟁,민요,train,56.0,3.75,3.73,0.9963,119.0,9.48,76.5,215.62,0.14,0.37,0.85,2.66
71955,아쟁,민요,val,8.0,0.49,0.49,0.9988,10.0,167.46,192.53,224.16,0.61,0.76,0.91,1.03
71955,아쟁,산조,test,1.0,0.17,0.17,0.9998,1.0,621.6,621.6,621.6,,,,
71955,아쟁,산조,train,5.0,0.44,0.44,0.9981,5.0,323.93,337.59,372.42,,,,
71955,아쟁,창작국악,test,43.0,2.46,1.83,0.7425,164.0,13.2,28.47,45.87,2.25,5.61,9.48,50.65
71955,아쟁,창작국악,train,192.0,11.88,8.89,0.7481,1185.0,6.3,13.2,33.81,0.97,3.17,8.14,32.57
71955,아쟁,창작국악,val,28.0,1.48,1.25,0.8442,116.0,10.86,23.94,56.51,0.54,2.25,4.32,9.71
71955,아쟁,판소리,test,40.0,2.16,2.09,0.9668,272.0,6.35,10.17,28.09,0.18,0.46,0.89,3.02
71955,아쟁,판소리,train,202.0,13.47,13.14,0.9755,1422.0,6.62,14.17,35.04,0.18,0.51,1.01,2.62
71955,아쟁,판소리,val,27.0,1.53,1.5,0.9829,115.0,9.73,24.43,41.77,0.14,0.32,0.87,2.71
71955,아쟁,풍류음악,test,6.0,0.29,0.29,0.9993,6.0,139.99,168.82,185.33,,,,
71955,아쟁,풍류음악,train,27.0,1.62,1.59,0.9862,37.0,91.54,122.96,257.32,1.38,4.3,10.12,13.62
71955,아쟁,풍류음악,val,2.0,0.06,0.06,0.9971,2.0,100.11,109.82,119.54,,,,
71955,양금,궁중음악,test,1.0,0.32,0.32,0.9934,9.0,45.77,89.93,144.03,0.16,0.51,1.07,2.79
71955,양금,궁중음악,train,11.0,1.11,1.11,0.996,28.0,15.06,89.7,209.99,0.14,0.41,0.64,1.44
71955,양금,궁중음악,val,1.0,0.32,0.32,0.991,21.0,3.73,21.34,46.41,0.22,0.39,0.56,1.36
71955,양금,창작국악,test,5.0,0.28,0.23,0.809,26.0,6.39,30.11,40.88,3.86,7.5,9.25,16.56
71955,양금,창작국악,train,38.0,2.41,1.41,0.5844,219.0,6.76,12.37,26.31,2.67,7.36,23.64,46.09
71955,양금,창작국악,val,3.0,0.11,0.09,0.8177,3.0,76.77,145.5,153.92,,,,
71955,양금,풍류음악,test,7.0,0.41,0.41,0.9973,7.0,127.56,189.2,299.87,,,,
71955,양금,풍류음악,train,24.0,1.17,1.14,0.9712,26.0,108.38,125.88,199.99,0.89,1.13,1.37,1.56
71955,양금,풍류음악,val,5.0,0.21,0.21,0.9989,5.0,128.25,129.26,146.33,,,,
71955,타악기,궁중음악,test,13.0,1.3,0.4,0.3054,723.0,1.24,1.33,2.35,0.55,1.4,4.69,14.95
71955,타악기,궁중음악,train,59.0,4.75,1.79,0.3769,3375.0,1.2,1.66,2.35,0.46,0.92,3.36,9.34
